Vragen vanuit bestaande klant software gerelateerd;Antwoorden/oplossingen;Moeilijkheid (beantwoorden) (0=niet, 1=wel);Hoe beantwoorden/ informatiedrager;Voorkombaar
Waarom zit er een witte stip in mijn beeld bij de dwarsleasie informatie game, kan deze ook kleiner?;De dwarsleasie informatiegame heeft geen aanpasbare instellingen, de witte stip dient als muis en kan niet kleiner worden gemaakt;0;Training, Handleiding, Telefonisch, Mail, Chatbot, Cursus, E-learning, Forum;Ja, door duidelijk over te brengen dat er geen aanpassingen zijn te maken binnen de games
;;;;
Hoe kan ik de instellingen van de games aanpassen?;De games hebben geen aanpasbare instellingen, los van de afmetingen van de game of het niveau. ;0;Training, Telefonisch, Mail, FAQ, Chatbot, Cursus, E-learning, Forum;Ja, door aan te geven dan de games zo laagdrempelig mogelijk zijn gemaakt en dat er daarom geen aanpassingen te maken zijn binnen de game.
;;;;
Hoe kan ik de game minder prikkels laten geven?;De games hebben geen aanpasbare instellingen maar de helderheid en het geluid van de bril kunnen worden aangepast waardoor de gebruiker de game wel met minder prikkels kunnen ervaren.;0;Training, Telefonisch, Mail, Chatbot, Cursus, E-learning, Forum;Ja, door uit te leggen dat er geen aanpassingen gemaakt kunnen worden, in dit geval is er een kleine aanpassing te maken aan de bril. Maar niks aan de games zelf
;;;;
Kunnen scores worden uitgezet in de games?;Nee, de scores binnen de games zijn er de gebruiker uit te dagen en te motiveren. Deze zijn binnen de games ingebouwd en kunnen niet worden uitgezet.;0;Training, Telefonisch, Mail, Chatbot, Cursus, E-learning, Forum;Ja, door aan te geven dan de games zo laagdrempelig mogelijk zijn gemaakt en dat er daarom geen aanpassingen te maken zijn binnen de game.
;;;;
Waarom kun je niet een game op twee of meer brillen tegenlijkertijd spelen?;Voor nu is het zo dat de licentie is gekoppeld aan een bril, je kan dus niet op een andere bril inloggen met dezelfde code om daar ook de games op te krijgen omdat dat een andere bril is;1;Telefonisch, Mail, Chatbot, Forum;Nee, deze vraag kan voorkomen als een klant zelf een bril aanschaft op al heeft liggen
;;;;
Tijdens installatie van de bril vraagt die om een mail welke moet ik hier invullen?;Dit kan soms voorkomen, hierbij is het belangrijk dat de klant HoloMoves belt om de mail te vragen zodat er een tweestaps verificatie kan plaatsvinden. HoloMoves krijgt hiervoor de code die nodig is om de licentie te activeren;1;Telefonisch, Mail, Forum;Nee, op de huidige manier van instalatie gebeurt dit soms en dan moet er contact opgenomen worden met een medewerker van HoloMoves om dit op te lossen 
;;;;
Device key doet het niet tijdens het installeren?;Als dit voorkomt is de divice key al in gebruik of werkt die echt niet en dan moet er een nieuwe worden aangevraagd. Hiervoor zal contact opgenomen moeten worden met een medewerker van HoloMoves om deze nieuw divice key te krijgen;1;Telefonisch, Mail;Nee, dit kan gebeuren
;;;;
Mijn licentie is verlopen, kan ik die verlengen?;Hiervoor wordt tegen het einde van de licentie periode een mail gestuurd met de vraag of deze verlegd moet worden. Voor het verlengen van de licentie zal contact moeten worden opgenomen met een HoloMoves medewerker.;1;Telefonisch, Mail;Ja, door vroegtijdig te informeren met de klant over de duur van de licentie kan deze vraag voorkomen worden.
;;;;
Kan ik de licentie kosten ook in termijnen betalen?;Nee, de kosten worden op dit moment nog eenmalig betaald tijdens de ingang van de licentieperiode. Dit geldt ook voor verlenging ;0;Telefonisch, Mail, Chatbot;Nee, deze vraag kan worden gesteld tijdens de aanvraag of verlenging
;;;;
De bril geeft een error, wat betekent de kleur code?;De kleurcodes zijn alleen bekend bij Holomoves en om dit op te lossen zal er contact moeten worden opgenomen met een HoloMoves medewerker;1;Handleidingen, Telefonisch, Mail, Chatbot, Forum;Nee, dit kan voorkomen als een een fout optreed.
;Kleurcodes HoloMoves;;;
;;;;
Vragen vanuit bestaande klant hardware gerelateerd ;;;;
Waarom doet de handtracking het niet, of verdwijnt het soms?;Handtracking is een instelling in de bril hij staat altijd aan maar kan verdwijnen als de controllers gaan bewegen. leg daarom altijd de controllers op een harde ondergrond zodat de handtracking niet weg valt andere redenen zijn dat de handen niet goed gezien worden door de camera's van de bril. Zorg dat ze goed in beeld blijven en als de weg vallen je weer een paar seconden naar je handen moet kijken tot dat er een blauwe gloed omheen komt;0;Training, Handleidingen, Telefonisch, Mail, Video's,  FAQ, Chatbot, Cursus, E-learning, Forum;Ja, door tijdens de training duidelijk te vertellen hoe de handtracking werkt en met video's
;How To Use Hand Tracking on Meta Quest 3 & 3s - Version 81+;;;
Hoe werkt het casten?;Er kan op meerdere manieren worden gecast, maar de meest gebruikte manier is om in de bril naar casten te gaan hier staat dan een link waar je naartoe moet gaan op het apparaat waarop je wilt streamen. Dan kun je de bril hiermee koppelen. belangrijk om op /holomoves te eindigen bij het invullen van de link;0;Training, Handleidingen, Telefonisch, Mail, Video's, FAQ, Chatbot, Cursus, E-learning, Forum;Ja, dit kan tijdens de training worden geoefend en laten zien hoe het werk
;Een cast starten vanaf een door een organisatie beheerde Meta Quest | Hulp voor Quest (nl);;;
Waarom krijg ik een foutmelding als ik probeer te casten?;Dit kan komen doordat de verkeerde link is ingevuld let erop dat deze op /holomoves/ eindigt ;0;Training, Handleidingen, Telefonisch, Mail, Video's, FAQ, Chatbot, Cursus, E-learning, Forum;Ja, door casten te oefenen komt hier een handigheid in
;;;;
Waarom krijg je grijs beeld bij het casten?;Herstart de Quest en de herlaad de website. Controleer de internet snelheid en afstand tot de router. Als de internet snelheid laag is en de afstand tot de router groot, probeer het dan opnieuw dichter bij de router.;1;Telefonisch, Mail, Chatbot, Forum;Nee, dit kan voorkomen tijdens gebruik 
;;;;
